Stadium,City,IndoorsOutdoors
Dodger Stadium,Los Angeles,Outdoors
Oracle Park,San Francisco,Outdoors
Petco Park,San Diego,Outdoors
Chase Field,Phoenix,Indoor
Coors Field,Denver,Outdoors
Oakland-Alameda County Coliseum,Oakland,Outdoors
Angel Stadium,Anaheim,Outdoors
T-Mobile Park,Seattle,Indoor
Globe Life Field,Arlington,Indoor
Minute Maid Park,Houston,Indoor
Wrigley Field,Chicago,Outdoors
Busch Stadium,St. Louis,Outdoors
Great American Ball Park,Cincinnati,Outdoors
American Family Field,Milwaukee,Indoor
PNC Park,Pittsburgh,Outdoors
Progressive Field,Cleveland,Outdoors
Comerica Park,Detroit,Outdoors
Guaranteed Rate Field,Chicago,Outdoors
Target Field,Minneapolis,Outdoors
Kauffman Stadium,Kansas City,Outdoors
Citizens Bank Park,Philadelphia,Outdoors
Citi Field,New York City,Outdoors
Nationals Park,Washington D.C.,Outdoors
Truist Park,Atlanta,Outdoors
LoanDepot Park,Miami,Indoor
Tropicana Field,St. Petersburg,Indoor
Fenway Park,Boston,Outdoors
Oriole Park at Camden Yards,Baltimore,Outdoors
Yankee Stadium,New York City,Outdoors
Rogers Centre,Toronto,Indoor
